year,count
1996,232
1997,197
1998,211
1999,195
2000,182
2001,183
2002,187
2003,152
2004,153
2005,131
2006,175
2007,174
2008,123
2009,146
2010,174
2011,170
2012,168
2013,148
2014,170
2015,193
2016,183
2017,182
2018,227
